dataset,probe_type,layer,auroc,accuracy,f1
5T2L_direct_liar,attentionh1_t1.0,44,0.7612934098988242,0.6349614395886889,0.6203208556149733
10T1L_direct_liar,sklearn_logisticC0.01_l2,22,0.7597621000820346,0.6786632390745502,0.50199203187251
5T2L_direct_liar,attentionh2_t1.0,44,0.7512031719989063,0.6606683804627249,0.6206896551724138
5T2L_direct_liar,attentionh4_t2.0,44,0.748550724637681,0.6606683804627249,0.6162790697674418
10T1L_roleplay,sklearn_logisticC0.1_l2,22,0.74001914137271,0.6838046272493573,0.5020242914979757
10T1L_direct_liar,sklearn_logisticC0.1_l2,22,0.7335110746513536,0.6529562982005142,0.4444444444444444
10T1L_roleplay,sklearn_logisticC1.0_l2,22,0.7334016953787257,0.6838046272493573,0.5060240963855421
5T2L_direct_liar,attentionh4_t1.0,44,0.7326086956521738,0.6555269922879178,0.6081871345029239
10T1L_roleplay,sklearn_logisticC10.0_l2,22,0.7317883511074651,0.6812339331619537,0.5
10T1L_direct_liar,sklearn_logisticC1.0_l1,22,0.7284249384741592,0.6683804627249358,0.49411764705882355
5T2L_direct_liar,sklearn_logisticC0.01_l2,22,0.7260459392945038,0.6580976863753213,0.5856697819314641
10T1L_direct_liar,sklearn_logisticC1.0_l2,22,0.7232841126606508,0.6478149100257069,0.42677824267782427
10T1L_direct_liar,sklearn_logisticC10.0_l2,22,0.7215613891167624,0.6375321336760925,0.38961038961038963
10T1L_direct_liar,sklearn_logisticC0.01_l2,44,0.7190183210281651,0.6606683804627249,0.36538461538461536
5T2L_direct_liar,attentionh8_t1.0,44,0.7104593929450369,0.6786632390745502,0.6056782334384858
5T2L_roleplay,sklearn_logisticC0.01_l2,22,0.7062756357670221,0.6658097686375322,0.5806451612903226
5T2L_direct_liar,sklearn_logisticC1.0_l1,22,0.6977987421383648,0.6529562982005142,0.5659163987138264
10T1L_direct_liar,sklearn_logisticC1.0_l1,44,0.6885288487831556,0.6503856041131105,0.32
5T2L_instructional,meandiffdefault,36,0.6868881596937381,0.42930591259640105,0.5763358778625954
5T2L_instructional,sklearn_logisticC0.01_l2,22,0.6845365053322395,0.6426735218508998,0.5971014492753624
5T2L_direct_liar,sklearn_logisticC0.1_l2,22,0.682868471424665,0.6401028277634961,0.5512820512820513
10T1L_direct_liar,meandiffdefault,36,0.682841126606508,0.4087403598971722,0.5708955223880597
10T1L_direct_liar,sklearn_logisticC0.1_l2,44,0.680872299699207,0.6452442159383034,0.29591836734693877
5T2L_roleplay,sklearn_logisticC1.0_l1,22,0.68084495488105,0.6452442159383034,0.5460526315789473
5T2L_roleplay,meandiffdefault,36,0.6776729559748428,0.4987146529562982,0.5637583892617449
5T2L_conditional,sklearn_logisticC0.01_l2,22,0.6743915777960077,0.609254498714653,0.5681818181818182
5T2L_direct_liar,sklearn_logisticC1.0_l2,22,0.6740907847962812,0.622107969151671,0.5180327868852459
